indice_tiempo,vino
2018-05-01,757.985
2018-06-01,778.501
2018-07-01,768.616
2018-08-01,787.605
2018-09-01,724.02
2018-10-01,699.348
2018-11-01,678.918
2018-12-01,681.83
2019-01-01,609.68
2019-02-01,588.763
2019-03-01,672.783
2019-04-01,661.412
2019-05-01,826.589
2019-06-01,728.525
2019-07-01,805.014
2019-08-01,840.65
2019-09-01,790.28
2019-10-01,820.635
2019-11-01,770.755
2019-12-01,725.323
2020-01-01,695.636
2020-02-01,637.033
2020-03-01,638.404
2020-04-01,678.565
2020-05-01,806.157
2020-06-01,915.701
2020-07-01,980.117
2020-08-01,856.492
2020-09-01,861.584
2020-10-01,831.199
2020-11-01,
2020-12-01,
2021-01-01,
2021-02-01,
2021-03-01,
2021-04-01,
2021-05-01,
2021-06-01,
2021-07-01,
2021-08-01,
2021-09-01,
2021-10-01,
2021-11-01,
2021-12-01,
2022-01-01,
2022-02-01,
2022-03-01,
2022-04-01,
2022-05-01,
2022-06-01,
2022-07-01,
2022-08-01,
2022-09-01,
2022-10-01,
2022-11-01,
2022-12-01,
2023-01-01,
2023-02-01,
2023-03-01,
2023-04-01,
2023-05-01,
2023-06-01,
2023-07-01,
2023-08-01,
2023-09-01,
2023-10-01,
2023-11-01,
2023-12-01,
2024-01-01,
2024-02-01,
